id,clean_program
1,MASTER TAX LAW - TAX AND TECHNOLOGY
2,ARTIFICIAL INTELLIGENCE
3,NA
4,COMPUTER SCIENCE
5,ARTIFICIAL INTELLIGENCE
6,SYSTEM SECURITY
7,QUANTITATIVE RISK MANAGEMENT
8,COMPUTATIONAL SCIENCE
9,ARTIFICIAL INTELLIGENCE
10,ARTIFICIAL INTELLIGENCE
11,COMPUTATIONAL SCIENCE
12,ARTIFICIAL INTELLIGENCE
13,COMPUTER SCIENCE
14,BIOINFORMATICS
15,HUMAN LANGUAGE TECHNOLOGY
16,ARTIFICIAL INTELLIGENCE
17,COMPUTATIONAL SCIENCE
18,ARTIFICIAL INTELLIGENCE
19,QUANTITATIVE RISK MANAGEMENT
20,BUSINESS ANALYTICS
21,ARTIFICIAL INTELLIGENCE
22,COMPUTATIONAL SCIENCE
23,COMPUTER SCIENCE
24,COMPUTATIONAL SCIENCE
25,COMPUTER SCIENCE
26,ARTIFICIAL INTELLIGENCE
27,LINGUISTICS
28,BIOINFORMATICS
29,BUSINESS ANALYTICS
30,BIOINFORMATICS
31,COMPUTATIONAL SCIENCE
32,NA
33,ECONOMETRICS
34,COMPUTATIONAL SCIENCE
35,COMPUTATIONAL SCIENCE
36,COMPUTATIONAL SCIENCE
37,HUMAN LANGUAGE TECHNOLOGY
38,HUMAN LANGUAGE TECHNOLOGY
39,ECONOMETRICS
40,ECONOMETRICS
41,ARTIFICIAL INTELLIGENCE
42,ECONOMETRICS
43,ECONOMETRICS
44,QUANTITATIVE RISK MANAGEMENT
45,ARTIFICIAL INTELLIGENCE
46,BUSINESS ANALYTICS
47,ARTIFICIAL INTELLIGENCE
48,COMPUTER SCIENCE
49,LINGUISTICS
50,ECONOMETRICS
51,ECONOMETRICS
52,ECONOMETRICS
53,ARTIFICIAL INTELLIGENCE
54,ARTIFICIAL INTELLIGENCE
55,ARTIFICIAL INTELLIGENCE
56,BUSINESS ANALYTICS
57,FINANCE AND TECHNOLOGY
58,BIOINFORMATICS
59,ARTIFICIAL INTELLIGENCE
60,QUANTITATIVE RISK MANAGEMENT
61,QUANTITATIVE RISK MANAGEMENT
62,ECONOMETRICS
63,QUANTITATIVE RISK MANAGEMENT
64,COMPUTER SCIENCE
65,ARTIFICIAL INTELLIGENCE
66,NA
67,BIOINFORMATICS
68,FINANCE AND TECHNOLOGY
69,BUSINESS ANALYTICS
70,ECONOMETRICS
71,ECONOMETRICS
72,COMPUTER SCIENCE
73,QUANTITATIVE RISK MANAGEMENT
74,BUSINESS ANALYTICS
75,ARTIFICIAL INTELLIGENCE
76,MEDICAL INFORMATICS
77,ARTIFICIAL INTELLIGENCE
78,BUSINESS ANALYTICS
79,MATHEMATICS
80,BUSINESS ANALYTICS
81,BUSINESS ANALYTICS
82,HUMAN LANGUAGE TECHNOLOGY
83,BUSINESS ANALYTICS
84,FINANCE AND TECHNOLOGY
85,ARTIFICIAL INTELLIGENCE
86,BUSINESS ANALYTICS
87,COMPUTATIONAL SCIENCE
88,ECONOMETRICS
89,COMPUTATIONAL SCIENCE
90,BUSINESS ANALYTICS
91,ARTIFICIAL INTELLIGENCE
92,COMPUTATIONAL SCIENCE
93,ARTIFICIAL INTELLIGENCE
94,COMPUTATIONAL SCIENCE
95,ARTIFICIAL INTELLIGENCE
96,ARTIFICIAL INTELLIGENCE
97,ARTIFICIAL INTELLIGENCE
98,ARTIFICIAL INTELLIGENCE
99,ARTIFICIAL INTELLIGENCE
100,BUSINESS ANALYTICS
101,ARTIFICIAL INTELLIGENCE
102,QUANTITATIVE RISK MANAGEMENT
103,FINANCE AND TECHNOLOGY
104,BUSINESS ANALYTICS
105,ECONOMETRICS
106,COMPUTER SCIENCE
107,BIOINFORMATICS
108,QUANTITATIVE RISK MANAGEMENT
109,BIOINFORMATICS
110,COMPUTER SCIENCE
111,RESEARCH MASTER HUMAN MOVEMENT SCIENCES (FGB)
112,COMPUTATIONAL SCIENCE
113,MATHEMATICS
114,BUSINESS ANALYTICS
115,ARTIFICIAL INTELLIGENCE
116,COMPUTER SCIENCE
117,FINANCE AND TECHNOLOGY
118,ARTIFICIAL INTELLIGENCE
119,DATA SCIENCE
120,MEDICAL INFORMATICS
121,ECONOMETRICS
122,ARTIFICIAL INTELLIGENCE
123,ARTIFICIAL INTELLIGENCE
124,COMPUTER SCIENCE
125,COMPUTER SCIENCE
126,FINANCE AND TECHNOLOGY
127,COMPUTER SCIENCE
128,FINANCE AND TECHNOLOGY
129,BIOINFORMATICS
130,BUSINESS ANALYTICS
131,BUSINESS ANALYTICS
132,BUSINESS ANALYTICS
133,COMPUTATIONAL SCIENCE
134,ARTIFICIAL INTELLIGENCE
135,ARTIFICIAL INTELLIGENCE
136,COMPUTER SCIENCE
137,ARTIFICIAL INTELLIGENCE
138,ECONOMETRICS
139,COMPUTER SCIENCE
140,ARTIFICIAL INTELLIGENCE
141,BUSINESS ADMINISTRATION
142,ARTIFICIAL INTELLIGENCE
143,ARTIFICIAL INTELLIGENCE
144,ARTIFICIAL INTELLIGENCE
145,HUMAN LANGUAGE TECHNOLOGY
146,BUSINESS ANALYTICS
147,BIOINFORMATICS
148,COMPUTATIONAL SCIENCE
149,MSC STOCHASTICS AND FINANCIAL MATHEMATICS
150,ARTIFICIAL INTELLIGENCE
151,COMPUTATIONAL SCIENCE
152,ARTIFICIAL INTELLIGENCE
153,ARTIFICIAL INTELLIGENCE
154,ARTIFICIAL INTELLIGENCE
155,ECONOMETRICS
156,ECONOMETRICS
157,ARTIFICIAL INTELLIGENCE
158,ARTIFICIAL INTELLIGENCE
159,ARTIFICIAL INTELLIGENCE
160,DATA SCIENCE
161,COMPUTER SCIENCE
162,INFORMATION SCIENCES
163,BUSINESS ANALYTICS
164,ARTIFICIAL INTELLIGENCE
165,COMPUTATIONAL SCIENCE
166,ARTIFICIAL INTELLIGENCE
167,ARTIFICIAL INTELLIGENCE
168,ARTIFICIAL INTELLIGENCE
169,BUSINESS ANALYTICS
170,ECONOMETRICS
171,ARTIFICIAL INTELLIGENCE
172,INFORMATION SCIENCES
173,DATA SCIENCE
174,COMPUTER SCIENCE
175,ARTIFICIAL INTELLIGENCE
176,ECONOMETRICS
177,BIOINFORMATICS
178,ECONOMETRICS
179,ARTIFICIAL INTELLIGENCE
180,ECONOMETRICS
181,COMPUTATIONAL SCIENCE
182,ECONOMETRICS
183,BIOINFORMATICS
184,COMPUTATIONAL SCIENCE
185,"MANAGEMENT, POLICY-ANALYSIS AND ENTREPRENEURSHIP IN HEALTH & LIFE SCIENCES"
186,ECONOMETRICS
187,COMPUTER SCIENCE
188,FINANCE AND TECHNOLOGY
189,ARTIFICIAL INTELLIGENCE
190,COMPUTATIONAL SCIENCE
191,COMPUTATIONAL SCIENCE
192,COMPUTATIONAL SCIENCE
193,ECONOMETRICS
194,COMPUTATIONAL SCIENCE
195,BIOINFORMATICS
196,ARTIFICIAL INTELLIGENCE
197,COMPUTATIONAL SCIENCE
198,BIOINFORMATICS
199,COMPUTATIONAL SCIENCE
200,COMPUTATIONAL SCIENCE
201,ARTIFICIAL INTELLIGENCE
202,HUMAN LANGUAGE TECHNOLOGY
203,COMPUTER SCIENCE
204,ARTIFICIAL INTELLIGENCE
205,ARTIFICIAL INTELLIGENCE
206,DATA SCIENCE
207,BIOINFORMATICS
208,DATA SCIENCE
209,COMPUTATIONAL SCIENCE
210,ARTIFICIAL INTELLIGENCE
211,COMPUTATIONAL SCIENCE
212,BUSINESS ANALYTICS
213,BUSINESS ANALYTICS
214,BUSINESS ANALYTICS
215,COMPUTER SCIENCE
216,ARTIFICIAL INTELLIGENCE
217,COMPUTATIONAL SCIENCE
218,ARTIFICIAL INTELLIGENCE
219,BUSINESS ANALYTICS
220,COMPUTER SCIENCE
221,COMPUTATIONAL SCIENCE
222,COMPUTER SCIENCE
223,BUSINESS ANALYTICS
224,ECONOMETRICS
225,BIOINFORMATICS
226,ARTIFICIAL INTELLIGENCE
227,DATA SCIENCE
228,BIOINFORMATICS
229,ARTIFICIAL INTELLIGENCE
230,NA
231,DATA SCIENCE
232,BUSINESS ANALYTICS
233,COMPUTATIONAL SCIENCE
234,BUSINESS ANALYTICS
235,ARTIFICIAL INTELLIGENCE
236,ARTIFICIAL INTELLIGENCE
237,ARTIFICIAL INTELLIGENCE
238,BIOINFORMATICS
239,BIOINFORMATICS
240,FINANCE
241,BUSINESS ANALYTICS
242,ARTIFICIAL INTELLIGENCE
243,ARTIFICIAL INTELLIGENCE
244,BUSINESS ANALYTICS
245,ARTIFICIAL INTELLIGENCE
246,QUANTITATIVE RISK MANAGEMENT
247,ECONOMETRICS
248,ARTIFICIAL INTELLIGENCE
249,BUSINESS ANALYTICS
250,BIOINFORMATICS
251,FINANCE AND TECHNOLOGY
252,BIOINFORMATICS
253,BIOINFORMATICS
254,COMPUTER SCIENCE
255,ECONOMETRICS
256,COMPUTATIONAL SCIENCE
257,BUSINESS ANALYTICS
258,BIOINFORMATICS
259,ARTIFICIAL INTELLIGENCE
260,BIOINFORMATICS
261,BUSINESS ANALYTICS
262,COMPUTER SCIENCE
263,QUANTITATIVE RISK MANAGEMENT
264,COMPUTATIONAL SCIENCE
265,ARTIFICIAL INTELLIGENCE
266,ARTIFICIAL INTELLIGENCE
267,FINANCE AND TECHNOLOGY
268,ARTIFICIAL INTELLIGENCE
269,ARTIFICIAL INTELLIGENCE
270,BUSINESS ANALYTICS
271,ARTIFICIAL INTELLIGENCE
272,BIOINFORMATICS
273,ARTIFICIAL INTELLIGENCE
274,ARTIFICIAL INTELLIGENCE
275,BIOINFORMATICS
276,ARTIFICIAL INTELLIGENCE
277,BIOINFORMATICS
278,BIOINFORMATICS
279,ARTIFICIAL INTELLIGENCE
280,BIOINFORMATICS
281,ECONOMETRICS
282,NA
283,ECONOMETRICS
284,ARTIFICIAL INTELLIGENCE
285,QUANTITATIVE RISK MANAGEMENT
286,BIOINFORMATICS
287,ARTIFICIAL INTELLIGENCE
288,ECONOMETRICS
289,COMPUTER SCIENCE
290,DATA SCIENCE
291,BIOINFORMATICS
292,ECONOMETRICS
293,DATA SCIENCE
294,MATHEMATICS
295,ECONOMETRICS
296,ARTIFICIAL INTELLIGENCE
297,QUANTITATIVE RISK MANAGEMENT
298,ARTIFICIAL INTELLIGENCE
299,BIOINFORMATICS
300,ARTIFICIAL INTELLIGENCE
301,ECONOMETRICS
302,ECONOMETRICS
303,ECONOMETRICS
304,ARTIFICIAL INTELLIGENCE
305,FINANCE
306,ARTIFICIAL INTELLIGENCE
307,DATA SCIENCE
308,BIOINFORMATICS
309,ARTIFICIAL INTELLIGENCE
310,FINANCE AND TECHNOLOGY
311,FINANCE AND TECHNOLOGY
312,QUANTITATIVE RISK MANAGEMENT
313,BUSINESS ANALYTICS
